,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result
0,"Mar 22, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473438/kolkata-knight-riders-vs-royal-challengers-bengaluru-1st-match-indian-premier-league-2025,Kolkata Knight Riders 174/8 (20 ov),174/8 (20 ov),RCB 177/3 (16.2/20 ov),177/3 (16.2/20 ov),Royal Challengers Bengaluru won by 7 wickets (with 22 balls remaining)
1,"Mar 23, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473439/sunrisers-hyderabad-vs-rajasthan-royals-2nd-match-indian-premier-league-2025,Sunrisers Hyderabad 286/6 (20 ov),286/6 (20 ov),Rajasthan Royals 242/6 (20 ov),242/6 (20 ov),Sunrisers Hyderabad won by 44 runs
2,"Mar 23, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473440/chennai-super-kings-vs-mumbai-indians-3rd-match-indian-premier-league-2025,Mumbai Indians 155/9 (20 ov),155/9 (20 ov),Chennai Super Kings 158/6 (19.1/20 ov),158/6 (19.1/20 ov),Chennai Super Kings won by 4 wickets (with 5 balls remaining)
3,"Mar 24, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473441/delhi-capitals-vs-lucknow-super-giants-4th-match-indian-premier-league-2025,Lucknow Super Giants 209/8 (20 ov),209/8 (20 ov),Delhi Capitals 211/9 (19.3/20 ov),211/9 (19.3/20 ov),Delhi Capitals won by 1 wicket (with 3 balls remaining)
4,"Mar 25, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473442/gujarat-titans-vs-punjab-kings-5th-match-indian-premier-league-2025,Punjab Kings 243/5 (20 ov),243/5 (20 ov),Gujarat Titans 232/5 (20 ov),232/5 (20 ov),Punjab Kings won by 11 runs
5,"Mar 26, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473443/rajasthan-royals-vs-kolkata-knight-riders-6th-match-indian-premier-league-2025,Rajasthan Royals 151/9 (20 ov),151/9 (20 ov),Kolkata Knight Riders 153/2 (17.3/20 ov),153/2 (17.3/20 ov),Kolkata Knight Riders won by 8 wickets (with 15 balls remaining)
6,"Mar 27, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473444/sunrisers-hyderabad-vs-lucknow-super-giants-7th-match-indian-premier-league-2025,Sunrisers Hyderabad 190/9 (20 ov),190/9 (20 ov),Lucknow Super Giants 193/5 (16.1/20 ov),193/5 (16.1/20 ov),Lucknow Super Giants won by 5 wickets (with 23 balls remaining)
7,"Mar 28, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473445/chennai-super-kings-vs-royal-challengers-bengaluru-8th-match-indian-premier-league-2025,RCB 196/7 (20 ov),196/7 (20 ov),Chennai Super Kings 146/8 (20 ov),146/8 (20 ov),Royal Challengers Bengaluru won by 50 runs
8,"Mar 29, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473446/gujarat-titans-vs-mumbai-indians-9th-match-indian-premier-league-2025,Gujarat Titans 196/8 (20 ov),196/8 (20 ov),Mumbai Indians 160/6 (20 ov),160/6 (20 ov),Gujarat Titans won by 36 runs
9,"Mar 30, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473447/delhi-capitals-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2025,Sunrisers Hyderabad 163 (18.4/20 ov),163 (18.4/20 ov),Delhi Capitals 166/3 (16/20 ov),166/3 (16/20 ov),Delhi Capitals won by 7 wickets (with 24 balls remaining)
10,"Mar 30, 2025",https://www.espncricinfo.com/series/8048/scorecard/1473448/rajasthan-royals-vs-chennai-super-kings-11th-match-indian-premier-league-2025,Rajasthan Royals 182/9 (20 ov),182/9 (20 ov),Chennai Super Kings 176/6 (20 ov),176/6 (20 ov),Rajasthan Royals won by 6 runs
