match_number,match_date,match_link,first_inn_team,first_inn_score,second_inn_team,second_inn_score,match_result,year
1,Apr 7,https://www.espncricinfo.com/series/8048/scorecard/1136561/mumbai-indians-vs-chennai-super-kings-1st-match-indian-premier-league-2018,MI,165/4 (20 ov),CSK,169/9 (19.5/20 ov),Chennai Super Kings won by 1 wicket (with 1 ball remaining),2018
2,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1136562/kings-xi-punjab-vs-delhi-daredevils-2nd-match-indian-premier-league-2018,DC,166/7 (20 ov),PBKS,167/4 (18.5/20 ov),Punjab Kings won by 6 wickets (with 7 balls remaining),2018
3,Apr 8,https://www.espncricinfo.com/series/8048/scorecard/1136563/kolkata-knight-riders-vs-royal-challengers-bangalore-3rd-match-indian-premier-league-2018,RCB,176/7 (20 ov),KKR,177/6 (18.5/20 ov),Kolkata Knight Riders won by 4 wickets (with 7 balls remaining),2018
4,Apr 9,https://www.espncricinfo.com/series/8048/scorecard/1136564/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-indian-premier-league-2018,RR,125/9 (20 ov),SRH,127/1 (15.5/20 ov),Sunrisers Hyderabad won by 9 wickets (with 25 balls remaining),2018
5,Apr 10,https://www.espncricinfo.com/series/8048/scorecard/1136565/chennai-super-kings-vs-kolkata-knight-riders-5th-match-indian-premier-league-2018,KKR,202/6 (20 ov),CSK,205/5 (19.5/20 ov),Chennai Super Kings won by 5 wickets (with 1 ball remaining),2018
6,Apr 11,https://www.espncricinfo.com/series/8048/scorecard/1136566/rajasthan-royals-vs-delhi-daredevils-6th-match-indian-premier-league-2018,RR,153/5 (17.5 ov),DC,"60/4 (6 ov, target: 71)",Rajasthan Royals won by 10 runs (D/L method),2018
7,Apr 12,https://www.espncricinfo.com/series/8048/scorecard/1136567/sunrisers-hyderabad-vs-mumbai-indians-7th-match-indian-premier-league-2018,MI,147/8 (20 ov),SRH,151/9 (20 ov),Sunrisers Hyderabad won by 1 wicket (with 0 balls remaining),2018
8,Apr 13,https://www.espncricinfo.com/series/8048/scorecard/1136568/royal-challengers-bangalore-vs-kings-xi-punjab-8th-match-indian-premier-league-2018,PBKS,155 (19.2/20 ov),RCB,159/6 (19.3/20 ov),Royal Challengers Bengaluru won by 4 wickets (with 3 balls remaining),2018
9,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1136569/mumbai-indians-vs-delhi-daredevils-9th-match-indian-premier-league-2018,MI,194/7 (20 ov),DC,195/3 (20 ov),Delhi Capitals won by 7 wickets (with 0 balls remaining),2018
10,Apr 14,https://www.espncricinfo.com/series/8048/scorecard/1136570/kolkata-knight-riders-vs-sunrisers-hyderabad-10th-match-indian-premier-league-2018,KKR,138/8 (20 ov),SRH,139/5 (19/20 ov),Sunrisers Hyderabad won by 5 wickets (with 6 balls remaining),2018
11,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1136571/royal-challengers-bangalore-vs-rajasthan-royals-11th-match-indian-premier-league-2018,RR,217/4 (20 ov),RCB,198/6 (20 ov),Rajasthan Royals won by 19 runs,2018
12,Apr 15,https://www.espncricinfo.com/series/8048/scorecard/1136572/kings-xi-punjab-vs-chennai-super-kings-12th-match-indian-premier-league-2018,PBKS,197/7 (20 ov),CSK,193/5 (20 ov),Punjab Kings won by 4 runs,2018
13,Apr 16,https://www.espncricinfo.com/series/8048/scorecard/1136573/kolkata-knight-riders-vs-delhi-daredevils-13th-match-indian-premier-league-2018,KKR,200/9 (20 ov),DC,129 (14.2/20 ov),Kolkata Knight Riders won by 71 runs,2018
14,Apr 17,https://www.espncricinfo.com/series/8048/scorecard/1136574/mumbai-indians-vs-royal-challengers-bangalore-14th-match-indian-premier-league-2018,MI,213/6 (20 ov),RCB,167/8 (20 ov),Mumbai Indians won by 46 runs,2018
15,Apr 18,https://www.espncricinfo.com/series/8048/scorecard/1136575/rajasthan-royals-vs-kolkata-knight-riders-15th-match-indian-premier-league-2018,RR,160/8 (20 ov),KKR,163/3 (18.5/20 ov),Kolkata Knight Riders won by 7 wickets (with 7 balls remaining),2018
16,Apr 19,https://www.espncricinfo.com/series/8048/scorecard/1136576/kings-xi-punjab-vs-sunrisers-hyderabad-16th-match-indian-premier-league-2018,PBKS,193/3 (20 ov),SRH,178/4 (20 ov),Punjab Kings won by 15 runs,2018
